"SampleID"	"SampleName"	"MarkerID"	"Haplotype"	"Reads"	"NA"
"005-1_S1"	"005-1_S1"	"msp1"	"Noise"	499	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Chimera"	435	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Singelton"	1232	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Noise"	6662	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"msp1-2"	7635	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"msp1-1"	23909	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Noise"	522	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Chimera"	3	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Singelton"	440	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Noise"	449	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"msp1-47"	519	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"msp1-43"	40418	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Noise"	1049	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Singelton"	394	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"msp1-43"	41529	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Noise"	763	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Chimera"	25	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Singelton"	897	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"msp1-262"	669	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Noise"	1761	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"msp1-2"	3960	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"msp1-1"	7478	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"msp1-43"	28748	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Noise"	344	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Chimera"	74	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Singelton"	1174	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Noise"	3242	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"msp1-2"	4168	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"msp1-1"	11713	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"msp1-43"	22754	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Noise"	1322	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Chimera"	1359	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Singelton"	1027	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"msp1-446"	472	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"msp1-54"	1168	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"msp1-2"	2694	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Noise"	13758	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"msp1-1"	27414	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Noise"	788	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Chimera"	845	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Singelton"	1188	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-43"	1031	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-1"	1105	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-2"	1269	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-66"	1855	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-83"	4005	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-466"	5886	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Noise"	14389	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-234"	18685	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Noise"	672	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Chimera"	324	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Singelton"	739	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"msp1-1"	609	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"msp1-740"	742	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"msp1-451"	863	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"msp1-446"	1467	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"msp1-234"	2273	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Noise"	47113	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Noise"	1158	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Chimera"	43	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Singelton"	435	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Noise"	3643	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"msp1-234"	6875	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"msp1-466"	71174	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Noise"	1532	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Chimera"	318	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Singelton"	1092	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"msp1-605"	537	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"msp1-608"	594	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"msp1-729"	922	FALSE
