MHC,Identity,WB,"NA",SB,total,SB_pct,WB_pct,Binder_pct
HLA-DPA10103-DPB10301,csp-53,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10301,csp-55,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10301,csp-68,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10301,csp-7,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10301,csp-8,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10301,csp-94,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10301,csp-99,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10301,csp_reference,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10401,csp-1,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10401,csp-10,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10401,csp-11,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10401,csp-111,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-117,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-12,4,91,1,96,0.010416666666666666,0.041666666666666664,0.052083333333333336
HLA-DPA10103-DPB10401,csp-15,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-16,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10401,csp-18,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-19,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-22,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10401,csp-27,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10401,csp-31,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-32,4,92,0,96,0,0.041666666666666664,0.041666666666666664
HLA-DPA10103-DPB10401,csp-35,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-36,3,91,2,96,0.020833333333333332,0.03125,0.052083333333333336
HLA-DPA10103-DPB10401,csp-39,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-4,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-46,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-47,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-53,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-55,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-68,0,96,0,96,0,0,0
HLA-DPA10103-DPB10401,csp-7,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10401,csp-8,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10401,csp-94,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10401,csp-99,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10401,csp_reference,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-1,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-10,2,94,0,96,0,0.020833333333333332,0.020833333333333332
