Record ID, Country, Match
MW554549.1, SUDAN, 1
MW554548.1, SUDAN, 1
MW554547.1, SUDAN, 1
MW554546.1, SUDAN, 1
MW554545.1, SUDAN, 1
MW554544.1, SUDAN, 1
MW554543.1, SUDAN, 1
MW554542.1, SUDAN, 1
MW554541.1, SUDAN, 1
MW554540.1, SUDAN, 1
MW554539.1, SUDAN, 1
MW554538.1, SUDAN, 1
MW554537.1, SUDAN, 1
MW554536.1, SUDAN, 1
MW554535.1, SUDAN, 1
MW554534.1, SUDAN, 1
MW554533.1, SUDAN, 1
MW554532.1, SUDAN, 1
MW554531.1, SUDAN, 1
MW554530.1, SUDAN, 1
MW554529.1, SUDAN, 1
MW554528.1, SUDAN, 1
MW554527.1, SUDAN, 1
MW554526.1, SUDAN, 1
MN623221.1, EQUATORIAL GUINEA: BIOKO, 1
MN623220.1, EQUATORIAL GUINEA: BIOKO, 1
MN623219.1, EQUATORIAL GUINEA: BIOKO, 1
MN623218.1, EQUATORIAL GUINEA: BIOKO, 1
MN623217.1, EQUATORIAL GUINEA: BIOKO, 1
MN623216.1, EQUATORIAL GUINEA: BIOKO, 1
MN623215.1, EQUATORIAL GUINEA: BIOKO, 1
MN623214.1, EQUATORIAL GUINEA: BIOKO, 1
MN623213.1, EQUATORIAL GUINEA: BIOKO, 1
MN623212.1, EQUATORIAL GUINEA: BIOKO, 1
MN623211.1, EQUATORIAL GUINEA: BIOKO, 1
MN623210.1, EQUATORIAL GUINEA: BIOKO, 1
MN623209.1, EQUATORIAL GUINEA: BIOKO, 1
MN623208.1, EQUATORIAL GUINEA: BIOKO, 1
MN623207.1, EQUATORIAL GUINEA: BIOKO, 1
MN623206.1, EQUATORIAL GUINEA: BIOKO, 1
MN623205.1, EQUATORIAL GUINEA: BIOKO, 1
MN623204.1, EQUATORIAL GUINEA: BIOKO, 1
MN623203.1, EQUATORIAL GUINEA: BIOKO, 1
MN623202.1, EQUATORIAL GUINEA: BIOKO, 1
MN623201.1, EQUATORIAL GUINEA: BIOKO, 1
MN623200.1, EQUATORIAL GUINEA: BIOKO, 1
MN623199.1, EQUATORIAL GUINEA: BIOKO, 1
MN623198.1, EQUATORIAL GUINEA: BIOKO, 1
MN623197.1, EQUATORIAL GUINEA: BIOKO, 1
MN623196.1, EQUATORIAL GUINEA: BIOKO, 1
MN623195.1, EQUATORIAL GUINEA: BIOKO, 1
MN623194.1, EQUATORIAL GUINEA: BIOKO, 1
MN623193.1, EQUATORIAL GUINEA: BIOKO, 1
MN623192.1, EQUATORIAL GUINEA: BIOKO, 1
MN623191.1, EQUATORIAL GUINEA: BIOKO, 1
MN623190.1, EQUATORIAL GUINEA: BIOKO, 1
MN623189.1, EQUATORIAL GUINEA: BIOKO, 1
MN623188.1, EQUATORIAL GUINEA: BIOKO, 1
MN623187.1, EQUATORIAL GUINEA: BIOKO, 1
MN623186.1, EQUATORIAL GUINEA: BIOKO, 1
MN623185.1, EQUATORIAL GUINEA: BIOKO, 1
MN623184.1, EQUATORIAL GUINEA: BIOKO, 1
MN623183.1, EQUATORIAL GUINEA: BIOKO, 1
MN623182.1, EQUATORIAL GUINEA: BIOKO, 1
MN623181.1, EQUATORIAL GUINEA: BIOKO, 1
MN623180.1, EQUATORIAL GUINEA: BIOKO, 1
MN623179.1, EQUATORIAL GUINEA: BIOKO, 1
MN623178.1, EQUATORIAL GUINEA: BIOKO, 1
MN623177.1, EQUATORIAL GUINEA: BIOKO, 1
MN623176.1, EQUATORIAL GUINEA: BIOKO, 1
MN623175.1, EQUATORIAL GUINEA: BIOKO, 1
MN623174.1, EQUATORIAL GUINEA: BIOKO, 1
MN623173.1, EQUATORIAL GUINEA: BIOKO, 1
MN623172.1, EQUATORIAL GUINEA: BIOKO, 1
MN623171.1, EQUATORIAL GUINEA: BIOKO, 1
MN623170.1, EQUATORIAL GUINEA: BIOKO, 1
MN623169.1, EQUATORIAL GUINEA: BIOKO, 1
MN623168.1, EQUATORIAL GUINEA: BIOKO, 1
MN623167.1, EQUATORIAL GUINEA: BIOKO, 1
MN623166.1, EQUATORIAL GUINEA: BIOKO, 1
MN623165.1, EQUATORIAL GUINEA: BIOKO, 1
MN623164.1, EQUATORIAL GUINEA: BIOKO, 1
MN623163.1, EQUATORIAL GUINEA: BIOKO, 1
MN623162.1, EQUATORIAL GUINEA: BIOKO, 1
MN623161.1, EQUATORIAL GUINEA: BIOKO, 1
MN623160.1, EQUATORIAL GUINEA: BIOKO, 1
MN623159.1, EQUATORIAL GUINEA: BIOKO, 1
MN623158.1, EQUATORIAL GUINEA: BIOKO, 1
MN623157.1, EQUATORIAL GUINEA: BIOKO, 1
MN623156.1, EQUATORIAL GUINEA: BIOKO, 1
MN623155.1, EQUATORIAL GUINEA: BIOKO, 1
MN623154.1, EQUATORIAL GUINEA: BIOKO, 1
MN623153.1, EQUATORIAL GUINEA: BIOKO, 1
