"SampleID","SampleName","MarkerID","Haplotype","Reads","NA"
"005-1_S1","005-1_S1","msp1","Noise",401,FALSE
"005-1_S1","005-1_S1","msp1","Chimera",1116,FALSE
"005-1_S1","005-1_S1","msp1","Singelton",2051,FALSE
"005-1_S1","005-1_S1","msp1","Indels",2,FALSE
"005-1_S1","005-1_S1","msp1","msp1-2",6556,FALSE
"005-1_S1","005-1_S1","msp1","Noise",10069,FALSE
"005-1_S1","005-1_S1","msp1","msp1-1",20360,FALSE
"006-1_S3","006-1_S3","msp1","Noise",727,FALSE
"006-1_S3","006-1_S3","msp1","Chimera",3,FALSE
"006-1_S3","006-1_S3","msp1","Singelton",1107,FALSE
"006-1_S3","006-1_S3","msp1","Noise",6415,FALSE
"006-1_S3","006-1_S3","msp1","msp1-102",34231,FALSE
"010-1_S5","010-1_S5","msp1","Noise",474,FALSE
"010-1_S5","010-1_S5","msp1","Chimera",8,FALSE
"010-1_S5","010-1_S5","msp1","Singelton",957,FALSE
"010-1_S5","010-1_S5","msp1","Noise",6164,FALSE
"010-1_S5","010-1_S5","msp1","msp1-102",35497,FALSE
"011-1_S7","011-1_S7","msp1","Noise",822,FALSE
"011-1_S7","011-1_S7","msp1","Chimera",246,FALSE
"011-1_S7","011-1_S7","msp1","Singelton",1976,FALSE
"011-1_S7","011-1_S7","msp1","msp1-2",3344,FALSE
"011-1_S7","011-1_S7","msp1","msp1-1",6326,FALSE
"011-1_S7","011-1_S7","msp1","Noise",7896,FALSE
"011-1_S7","011-1_S7","msp1","msp1-102",24088,FALSE
"012-1_S9","012-1_S9","msp1","Noise",225,FALSE
"012-1_S9","012-1_S9","msp1","Chimera",203,FALSE
"012-1_S9","012-1_S9","msp1","Singelton",2051,FALSE
"012-1_S9","012-1_S9","msp1","msp1-2",3525,FALSE
"012-1_S9","012-1_S9","msp1","Noise",8986,FALSE
"012-1_S9","012-1_S9","msp1","msp1-1",9795,FALSE
"012-1_S9","012-1_S9","msp1","msp1-102",18854,FALSE
"017-1_S1","017-1_S1","msp1","Noise",1150,FALSE
"017-1_S1","017-1_S1","msp1","Chimera",1789,FALSE
"017-1_S1","017-1_S1","msp1","Singelton",2340,FALSE
"017-1_S1","017-1_S1","msp1","Indels",269,FALSE
"017-1_S1","017-1_S1","msp1","msp1-2",2319,FALSE
"017-1_S1","017-1_S1","msp1","Noise",18739,FALSE
"017-1_S1","017-1_S1","msp1","msp1-1",22988,FALSE
"018-1_S2","018-1_S2","msp1","Noise",769,FALSE
"018-1_S2","018-1_S2","msp1","Chimera",2528,FALSE
"018-1_S2","018-1_S2","msp1","Singelton",3278,FALSE
"018-1_S2","018-1_S2","msp1","Indels",19840,FALSE
"018-1_S2","018-1_S2","msp1","msp1-102",795,FALSE
"018-1_S2","018-1_S2","msp1","msp1-1",1020,FALSE
"018-1_S2","018-1_S2","msp1","msp1-2",1175,FALSE
"018-1_S2","018-1_S2","msp1","msp1-164",1598,FALSE
"018-1_S2","018-1_S2","msp1","Noise",22124,FALSE
"019-1_S3","019-1_S3","msp1","Noise",936,FALSE
"019-1_S3","019-1_S3","msp1","Chimera",4127,FALSE
"019-1_S3","019-1_S3","msp1","Singelton",2454,FALSE
"019-1_S3","019-1_S3","msp1","Indels",2496,FALSE
"019-1_S3","019-1_S3","msp1","Noise",45308,FALSE
"020-1_S4","020-1_S4","msp1","Noise",1068,FALSE
"020-1_S4","020-1_S4","msp1","Chimera",318,FALSE
"020-1_S4","020-1_S4","msp1","Singelton",1692,FALSE
"020-1_S4","020-1_S4","msp1","Indels",7045,FALSE
"020-1_S4","020-1_S4","msp1","Noise",73417,FALSE
"021-1_S5","021-1_S5","msp1","Noise",328,FALSE
"021-1_S5","021-1_S5","msp1","Chimera",3084,FALSE
"021-1_S5","021-1_S5","msp1","Singelton",2643,FALSE
"021-1_S5","021-1_S5","msp1","Indels",263,FALSE
"021-1_S5","021-1_S5","msp1","msp1-2250",4907,FALSE
"021-1_S5","021-1_S5","msp1","Noise",17632,FALSE
"021-1_S5","021-1_S5","msp1","msp1-1562",19193,FALSE
"022-1_S6","022-1_S6","msp1","Noise",2132,FALSE
"022-1_S6","022-1_S6","msp1","Chimera",2424,FALSE
"022-1_S6","022-1_S6","msp1","Singelton",3080,FALSE
"022-1_S6","022-1_S6","msp1","Indels",3460,FALSE
"022-1_S6","022-1_S6","msp1","msp1-1562",990,FALSE
"022-1_S6","022-1_S6","msp1","msp1-1",1583,FALSE
"022-1_S6","022-1_S6","msp1","msp1-435",2720,FALSE
"022-1_S6","022-1_S6","msp1","msp1-162",17303,FALSE
"022-1_S6","022-1_S6","msp1","Noise",17817,FALSE
"023-1_S7","023-1_S7","msp1","Noise",1682,FALSE
"023-1_S7","023-1_S7","msp1","Chimera",3159,FALSE
"023-1_S7","023-1_S7","msp1","Singelton",4411,FALSE
"023-1_S7","023-1_S7","msp1","Indels",592,FALSE
"023-1_S7","023-1_S7","msp1","msp1-102",1814,FALSE
"023-1_S7","023-1_S7","msp1","msp1-2",2565,FALSE
"023-1_S7","023-1_S7","msp1","msp1-2250",2791,FALSE
"023-1_S7","023-1_S7","msp1","msp1-1",7413,FALSE
"023-1_S7","023-1_S7","msp1","msp1-1562",8783,FALSE
"023-1_S7","023-1_S7","msp1","Noise",16978,FALSE
"024-1_S18","024-1_S18","msp1","Noise",799,FALSE
"024-1_S18","024-1_S18","msp1","Chimera",190,FALSE
"024-1_S18","024-1_S18","msp1","Singelton",1899,FALSE
"024-1_S18","024-1_S18","msp1","msp1-1562",1680,FALSE
"024-1_S18","024-1_S18","msp1","Noise",7142,FALSE
"024-1_S18","024-1_S18","msp1","msp1-102",27426,FALSE
"025-1_S20","025-1_S20","msp1","Noise",2135,FALSE
"025-1_S20","025-1_S20","msp1","Chimera",1602,FALSE
"025-1_S20","025-1_S20","msp1","Singelton",4652,FALSE
"025-1_S20","025-1_S20","msp1","Indels",3,FALSE
"025-1_S20","025-1_S20","msp1","msp1-2250",818,FALSE
"025-1_S20","025-1_S20","msp1","msp1-102",2168,FALSE
"025-1_S20","025-1_S20","msp1","msp1-1562",3030,FALSE
"025-1_S20","025-1_S20","msp1","msp1-2",3036,FALSE
"025-1_S20","025-1_S20","msp1","msp1-1",7107,FALSE
"025-1_S20","025-1_S20","msp1","Noise",17041,FALSE
"027-1_S22","027-1_S22","msp1","Noise",365,FALSE
"027-1_S22","027-1_S22","msp1","Chimera",299,FALSE
"027-1_S22","027-1_S22","msp1","Singelton",1971,FALSE
"027-1_S22","027-1_S22","msp1","Indels",1,FALSE
"027-1_S22","027-1_S22","msp1","msp1-11",732,FALSE
"027-1_S22","027-1_S22","msp1","msp1-1",2500,FALSE
"027-1_S22","027-1_S22","msp1","msp1-2",4604,FALSE
"027-1_S22","027-1_S22","msp1","Noise",6687,FALSE
"027-1_S22","027-1_S22","msp1","msp1-53",17738,FALSE
"029-1_S24","029-1_S24","msp1","Noise",284,FALSE
"029-1_S24","029-1_S24","msp1","Chimera",868,FALSE
"029-1_S24","029-1_S24","msp1","Singelton",2165,FALSE
