"SampleID","SampleName","MarkerID","Haplotype","Reads","NA"
"005-2_S2","005-2_S2","csp","Noise",91,FALSE
"005-2_S2","005-2_S2","csp","Indels",21913,FALSE
"005-2_S2","005-2_S2","csp","Singelton",327,FALSE
"005-2_S2","005-2_S2","csp","Chimera",24,FALSE
"005-2_S2","005-2_S2","csp","Noise",812,FALSE
"005-2_S2","005-2_S2","csp","csp-1",18360,FALSE
"006-2_S4","006-2_S4","csp","Noise",1,FALSE
"006-2_S4","006-2_S4","csp","Indels",512,FALSE
"006-2_S4","006-2_S4","csp","Singelton",427,FALSE
"006-2_S4","006-2_S4","csp","Chimera",1,FALSE
"006-2_S4","006-2_S4","csp","csp-11",37715,FALSE
"010-2_S6","010-2_S6","csp","Noise",8,FALSE
"010-2_S6","010-2_S6","csp","Indels",2128,FALSE
"010-2_S6","010-2_S6","csp","Singelton",554,FALSE
"010-2_S6","010-2_S6","csp","csp-11",42492,FALSE
"011-2_S8","011-2_S8","csp","Noise",1,FALSE
"011-2_S8","011-2_S8","csp","Indels",2446,FALSE
"011-2_S8","011-2_S8","csp","Singelton",598,FALSE
"011-2_S8","011-2_S8","csp","Chimera",2,FALSE
"011-2_S8","011-2_S8","csp","csp-11",40424,FALSE
"012-2_S10","012-2_S10","csp","Noise",628,FALSE
"012-2_S10","012-2_S10","csp","Indels",29770,FALSE
"012-2_S10","012-2_S10","csp","Singelton",498,FALSE
"012-2_S10","012-2_S10","csp","Chimera",3,FALSE
"012-2_S10","012-2_S10","csp","csp-11",13018,FALSE
"017-2_S11","017-2_S11","csp","Noise",177,FALSE
"017-2_S11","017-2_S11","csp","Indels",15177,FALSE
"017-2_S11","017-2_S11","csp","Singelton",710,FALSE
"017-2_S11","017-2_S11","csp","Chimera",84,FALSE
"017-2_S11","017-2_S11","csp","csp-11",621,FALSE
"017-2_S11","017-2_S11","csp","csp-36",1720,FALSE
"017-2_S11","017-2_S11","csp","csp-1",9427,FALSE
"017-2_S11","017-2_S11","csp","csp-35",16805,FALSE
"018-2_S12","018-2_S12","csp","Noise",268,FALSE
"018-2_S12","018-2_S12","csp","Indels",8810,FALSE
"018-2_S12","018-2_S12","csp","Singelton",458,FALSE
"018-2_S12","018-2_S12","csp","Chimera",50,FALSE
"018-2_S12","018-2_S12","csp","csp-4",33706,FALSE
"019-2_S13","019-2_S13","csp","Noise",41,FALSE
"019-2_S13","019-2_S13","csp","Indels",5964,FALSE
"019-2_S13","019-2_S13","csp","Singelton",705,FALSE
"019-2_S13","019-2_S13","csp","Chimera",4811,FALSE
"019-2_S13","019-2_S13","csp","csp-53",4753,FALSE
"019-2_S13","019-2_S13","csp","csp-36",10771,FALSE
"019-2_S13","019-2_S13","csp","csp-47",17049,FALSE
"020-2_S14","020-2_S14","csp","Noise",23,FALSE
"020-2_S14","020-2_S14","csp","Indels",939,FALSE
"020-2_S14","020-2_S14","csp","Singelton",445,FALSE
"020-2_S14","020-2_S14","csp","Noise",42330,FALSE
"021-2_S15","021-2_S15","csp","Noise",261,FALSE
"021-2_S15","021-2_S15","csp","Indels",434,FALSE
"021-2_S15","021-2_S15","csp","Singelton",897,FALSE
"021-2_S15","021-2_S15","csp","Chimera",9136,FALSE
"021-2_S15","021-2_S15","csp","csp-27",996,FALSE
"021-2_S15","021-2_S15","csp","csp-68",2453,FALSE
"021-2_S15","021-2_S15","csp","csp-39",2590,FALSE
"021-2_S15","021-2_S15","csp","csp-46",2615,FALSE
"021-2_S15","021-2_S15","csp","Noise",3150,FALSE
"021-2_S15","021-2_S15","csp","csp-35",5707,FALSE
"021-2_S15","021-2_S15","csp","csp-4",17148,FALSE
"022-2_S16","022-2_S16","csp","Noise",596,FALSE
"022-2_S16","022-2_S16","csp","Indels",1891,FALSE
"022-2_S16","022-2_S16","csp","Singelton",558,FALSE
"022-2_S16","022-2_S16","csp","Chimera",66,FALSE
"022-2_S16","022-2_S16","csp","csp-36",41771,FALSE
"023-2_S17","023-2_S17","csp","Noise",615,FALSE
"023-2_S17","023-2_S17","csp","Indels",19031,FALSE
"023-2_S17","023-2_S17","csp","Singelton",1059,FALSE
"023-2_S17","023-2_S17","csp","Chimera",4340,FALSE
"023-2_S17","023-2_S17","csp","csp-27",467,FALSE
"023-2_S17","023-2_S17","csp","csp-46",1167,FALSE
"023-2_S17","023-2_S17","csp","csp-68",1337,FALSE
"023-2_S17","023-2_S17","csp","csp-39",1389,FALSE
"023-2_S17","023-2_S17","csp","Noise",1783,FALSE
"023-2_S17","023-2_S17","csp","csp-35",2744,FALSE
"023-2_S17","023-2_S17","csp","csp-4",9116,FALSE
"024-2_S19","024-2_S19","csp","Noise",1132,FALSE
"024-2_S19","024-2_S19","csp","Indels",6797,FALSE
"024-2_S19","024-2_S19","csp","Singelton",566,FALSE
"024-2_S19","024-2_S19","csp","Chimera",32,FALSE
"024-2_S19","024-2_S19","csp","csp-11",38259,FALSE
"025-2_S21","025-2_S21","csp","Noise",227,FALSE
"025-2_S21","025-2_S21","csp","Indels",34987,FALSE
"025-2_S21","025-2_S21","csp","Singelton",500,FALSE
"025-2_S21","025-2_S21","csp","Chimera",517,FALSE
"025-2_S21","025-2_S21","csp","csp-99",169,FALSE
"025-2_S21","025-2_S21","csp","csp-35",194,FALSE
"025-2_S21","025-2_S21","csp","csp-11",272,FALSE
"025-2_S21","025-2_S21","csp","csp-4",808,FALSE
"025-2_S21","025-2_S21","csp","Noise",872,FALSE
"025-2_S21","025-2_S21","csp","csp-22",5443,FALSE
"027-2_S23","027-2_S23","csp","Noise",12,FALSE
"027-2_S23","027-2_S23","csp","Indels",300,FALSE
"027-2_S23","027-2_S23","csp","Singelton",340,FALSE
"027-2_S23","027-2_S23","csp","Chimera",2,FALSE
"027-2_S23","027-2_S23","csp","csp-55",47053,FALSE
"029-2_S25","029-2_S25","csp","Noise",300,FALSE
"029-2_S25","029-2_S25","csp","Indels",10075,FALSE
"029-2_S25","029-2_S25","csp","Singelton",868,FALSE
"029-2_S25","029-2_S25","csp","Chimera",20,FALSE
"029-2_S25","029-2_S25","csp","csp-94",889,FALSE
"029-2_S25","029-2_S25","csp","csp-19",1171,FALSE
"029-2_S25","029-2_S25","csp","csp-31",2419,FALSE
"029-2_S25","029-2_S25","csp","csp-35",9246,FALSE
"029-2_S25","029-2_S25","csp","csp-1",21608,FALSE
"030-2_S27","030-2_S27","csp","Noise",148,FALSE
"030-2_S27","030-2_S27","csp","Indels",1527,FALSE
"030-2_S27","030-2_S27","csp","Singelton",451,FALSE
"030-2_S27","030-2_S27","csp","Chimera",7,FALSE
"030-2_S27","030-2_S27","csp","csp-15",45762,FALSE
"034-2_S28","034-2_S28","csp","Noise",600,FALSE
"034-2_S28","034-2_S28","csp","Indels",24382,FALSE
"034-2_S28","034-2_S28","csp","Singelton",479,FALSE
"034-2_S28","034-2_S28","csp","Chimera",1715,FALSE
"034-2_S28","034-2_S28","csp","Noise",829,FALSE
"034-2_S28","034-2_S28","csp","csp-94",1879,FALSE
"034-2_S28","034-2_S28","csp","csp-55",4671,FALSE
"034-2_S28","034-2_S28","csp","csp-15",4920,FALSE
"040-2_S30","040-2_S30","csp","Noise",1250,FALSE
"040-2_S30","040-2_S30","csp","Indels",2370,FALSE
"040-2_S30","040-2_S30","csp","Singelton",819,FALSE
"040-2_S30","040-2_S30","csp","Chimera",920,FALSE
"040-2_S30","040-2_S30","csp","csp-53",2790,FALSE
"040-2_S30","040-2_S30","csp","csp-47",3505,FALSE
"040-2_S30","040-2_S30","csp","Noise",3776,FALSE
