SampleID	SampleName	MarkerID	BarcodePair	ReadNumbers	FileR1	FileR2
021-2_S15	021-2_S15	csp		0	data/021-2_S15_L001_R1_001.fastq.gz	data/021-2_S15_L001_R2_001.fastq.gz
022-1_S6	022-1_S6	msp1		0	data/022-1_S6_L001_R1_001.fastq.gz	data/022-1_S6_L001_R2_001.fastq.gz
022-2_S16	022-2_S16	csp		0	data/022-2_S16_L001_R1_001.fastq.gz	data/022-2_S16_L001_R2_001.fastq.gz
023-1_S7	023-1_S7	msp1		0	data/023-1_S7_L001_R1_001.fastq.gz	data/023-1_S7_L001_R2_001.fastq.gz
023-2_S17	023-2_S17	csp		0	data/023-2_S17_L001_R1_001.fastq.gz	data/023-2_S17_L001_R2_001.fastq.gz
024-1_S18	024-1_S18	msp1		0	data/024-1_S18_L001_R1_001.fastq.gz	data/024-1_S18_L001_R2_001.fastq.gz
024-2_S19	024-2_S19	csp		0	data/024-2_S19_L001_R1_001.fastq.gz	data/024-2_S19_L001_R2_001.fastq.gz
025-1_S20	025-1_S20	msp1		0	data/025-1_S20_L001_R1_001.fastq.gz	data/025-1_S20_L001_R2_001.fastq.gz
025-2_S21	025-2_S21	csp		0	data/025-2_S21_L001_R1_001.fastq.gz	data/025-2_S21_L001_R2_001.fastq.gz
027-1_S22	027-1_S22	msp1		0	data/027-1_S22_L001_R1_001.fastq.gz	data/027-1_S22_L001_R2_001.fastq.gz
027-2_S23	027-2_S23	csp		0	data/027-2_S23_L001_R1_001.fastq.gz	data/027-2_S23_L001_R2_001.fastq.gz
029-1_S24	029-1_S24	msp1		0	data/029-1_S24_L001_R1_001.fastq.gz	data/029-1_S24_L001_R2_001.fastq.gz
029-2_S25	029-2_S25	csp		0	data/029-2_S25_L001_R1_001.fastq.gz	data/029-2_S25_L001_R2_001.fastq.gz
030-1_S26	030-1_S26	msp1		0	data/030-1_S26_L001_R1_001.fastq.gz	data/030-1_S26_L001_R2_001.fastq.gz
030-2_S27	030-2_S27	csp		0	data/030-2_S27_L001_R1_001.fastq.gz	data/030-2_S27_L001_R2_001.fastq.gz
034-2_S28	034-2_S28	csp		0	data/034-2_S28_L001_R1_001.fastq.gz	data/034-2_S28_L001_R2_001.fastq.gz
040-1_S29	040-1_S29	msp1		0	data/040-1_S29_L001_R1_001.fastq.gz	data/040-1_S29_L001_R2_001.fastq.gz
040-2_S30	040-2_S30	csp		0	data/040-2_S30_L001_R1_001.fastq.gz	data/040-2_S30_L001_R2_001.fastq.gz
048-1_S31	048-1_S31	msp1		0	data/048-1_S31_L001_R1_001.fastq.gz	data/048-1_S31_L001_R2_001.fastq.gz
048-2_S32	048-2_S32	csp		0	data/048-2_S32_L001_R1_001.fastq.gz	data/048-2_S32_L001_R2_001.fastq.gz
11639-1_S7	11639-1_S7	msp1		0	data/11639-1_S7_L001_R1_001.fastq.gz	data/11639-1_S7_L001_R2_001.fastq.gz
11639-2_S6	11639-2_S6	csp		0	data/11639-2_S6_L001_R1_001.fastq.gz	data/11639-2_S6_L001_R2_001.fastq.gz
11800-1_S16	11800-1_S16	msp1		0	data/11800-1_S16_L001_R1_001.fastq.gz	data/11800-1_S16_L001_R2_001.fastq.gz
11800-2_S15	11800-2_S15	csp		0	data/11800-2_S15_L001_R1_001.fastq.gz	data/11800-2_S15_L001_R2_001.fastq.gz
13819-1_S8	13819-1_S8	msp1		0	data/13819-1_S8_L001_R1_001.fastq.gz	data/13819-1_S8_L001_R2_001.fastq.gz
13819-2_S7	13819-2_S7	csp		0	data/13819-2_S7_L001_R1_001.fastq.gz	data/13819-2_S7_L001_R2_001.fastq.gz
13839-1_S12	13839-1_S12	msp1		0	data/13839-1_S12_L001_R1_001.fastq.gz	data/13839-1_S12_L001_R2_001.fastq.gz
13839-2_S11	13839-2_S11	csp		0	data/13839-2_S11_L001_R1_001.fastq.gz	data/13839-2_S11_L001_R2_001.fastq.gz
18330-1_S6	18330-1_S6	msp1		0	data/18330-1_S6_L001_R1_001.fastq.gz	data/18330-1_S6_L001_R2_001.fastq.gz
18330-2_S5	18330-2_S5	csp		0	data/18330-2_S5_L001_R1_001.fastq.gz	data/18330-2_S5_L001_R2_001.fastq.gz
18411-1_S15	18411-1_S15	msp1		0	data/18411-1_S15_L001_R1_001.fastq.gz	data/18411-1_S15_L001_R2_001.fastq.gz
18411-2_S14	18411-2_S14	csp		0	data/18411-2_S14_L001_R1_001.fastq.gz	data/18411-2_S14_L001_R2_001.fastq.gz
