msp1_3D7;Reference
msp1-1417_8238-1_S10;North
msp1-1148_8238-1_S10;North
msp1-42_Abass-1_S4;North
msp1-3912_Abass-1_S4;North
msp1-268_Abass-1_S4;North
msp1-1416_Ali-1_S19;North
msp1-42_Balkisu-1_S2;North
msp1-2_cc002-1_S30;South
msp1-708_cc002-1_S30;South
msp1-1734_cc002-1_S30;South
msp1-1_cc002-1_S30;South
msp1-11_cc003-1_S31;South
msp1-53_cc003-1_S31;South
msp1-227_cc004-1_S32;South
msp1-164_cc004-1_S32;South
msp1-1_cc005-1_S33;South
msp1-435_cc006-1_S34;South
msp1-2_cc006-1_S34;South
msp1-1_cc006-1_S34;South
msp1-162_cc006-1_S34;South
msp1-1_cc007-1_S35;South
msp1-2_cc007-1_S35;South
msp1-1416_cc008-1_S36;South
msp1-1_cc008-1_S36;South
msp1-1_cc010-1_S38;South
msp1-2_cc010-1_S38;South
msp1-2_cc011-1_S39;South
msp1-1110_cc011-1_S39;South
msp1-1_cc011-1_S39;South
msp1-5414_cc012-1_S40;South
msp1-6679_cc012-1_S40;South
msp1-1_cc014-1_S22;South
msp1-164_cc016-1_S24;South
msp1-115_cc016-1_S24;South
msp1-162_cc016-1_S24;South
msp1-102_cc016-1_S24;South
msp1-824_cc016-1_S24;South
msp1-102_cc017-1_S25;South
msp1-164_cc017-1_S25;South
msp1-824_cc018-1_S26;South
msp1-1416_cc018-1_S26;South
msp1-244_cc021-1_S28;South
msp1-244_cc021-1_S28;South
msp1-42_cc021-1_S28;South
msp1-42_cc021-1_S28;South
msp1-42_cc022-1_S29;South
msp1-42_cc022-1_S29;South
msp1-2_cc022-1_S29;South
msp1-2_cc022-1_S29;South
msp1-1416_cc022-1_S29;South
msp1-1416_cc022-1_S29;South
msp1-1417_cc022-1_S29;South
msp1-1417_cc022-1_S29;South
msp1-1_cc022-1_S29;South
msp1-1_cc022-1_S29;South
msp1-164_cco15-1_S23;South
msp1-2_cco15-1_S23;South
msp1-162_cco15-1_S23;South
msp1-115_cco15-1_S23;South
msp1-102_cco15-1_S23;South
msp1-708_cco15-1_S23;South
msp1-227_kg073-1_S20;Central
msp1-6679_kg073-1_S20;Central
msp1-42_kg073-1_S20;Central
msp1-164_kg073-1_S20;Central
msp1-5414_kg073-1_S20;Central
msp1-1_kg073-1_S20;Central
msp1-227_Mariam-1_S5;North
msp1-42_Mariam-1_S5;North
msp1-2_MGH001-1_S28;North
msp1-1_MGH001-1_S28;North
msp1-2_PZ049-1_S21;North
msp1-164_PZ049-1_S21;North
msp1-6679_PZ049-1_S21;North
msp1-5414_PZ049-1_S21;North
msp1-42_PZ049-1_S21;North
msp1-1_PZ049-1_S21;North
msp1-227_Rafiatu-1_S9;North
msp1-42_Rafiatu-1_S9;North
msp1-244_Shaatu-1_S11;North
msp1-42_Shaatu-1_S11;North
msp1-935_sk052-1_S1;Central
msp1-384_sk052-1_S1;Central
msp1-830_sk052-1_S1;Central
msp1-1562_sk052-1_S1;Central
msp1-1_sk052-1_S1;Central
msp1-2_sk052-1_S1;Central
msp1-162_sk053-1_S3;Central
msp1-102_sk053-1_S3;Central
msp1-1_sk053-1_S3;Central
msp1-2_sk053-1_S3;Central
msp1-824_sk053-1_S3;Central
msp1-115_sk057-1_S5;Central
msp1-2_sk057-1_S5;Central
msp1-708_sk057-1_S5;Central
msp1-1_sk057-1_S5;Central
msp1-1734_sk085-1_S7;Central
msp1-935_sk085-1_S7;Central
msp1-384_sk085-1_S7;Central
msp1-830_sk085-1_S7;Central
msp1-1_sk085-1_S7;Central
msp1-2_sk085-1_S7;Central
msp1-1_sk090-1_S11;Central
msp1-2_sk094-1_S13;Central
msp1-1_sk094-1_S13;Central
msp1-733_sk096-1_S15;Central
msp1-1_sk096-1_S15;Central
msp1-435_sk097-1_S17;Central
msp1-824_sk097-1_S17;Central
msp1-1416_sk097-1_S17;Central
msp1-162_sk097-1_S17;Central
msp1-2_sk101-1_S19;Central
msp1-1_sk101-1_S19;Central
msp1-1_sk107-1_S21;Central
msp1-733_sk108-1_S23;Central
