,SampleName,1_R1,1_R2,2_R1,2_R2
28,192771,192771-1_S14_L001_R1_001.fastq.gz,192771-1_S14_L001_R2_001.fastq.gz,192771-2_S13_L001_R1_001.fastq.gz,192771-2_S13_L001_R2_001.fastq.gz
29,22511,22511-1_S18_L001_R1_001.fastq.gz,22511-1_S18_L001_R2_001.fastq.gz,22511-2_S17_L001_R1_001.fastq.gz,22511-2_S17_L001_R2_001.fastq.gz
30,82281,82281-1_S3_L001_R1_001.fastq.gz,82281-1_S3_L001_R2_001.fastq.gz,82281-2_S2_L001_R1_001.fastq.gz,82281-2_S2_L001_R2_001.fastq.gz
31,8238,8238-1_S10_L001_R1_001.fastq.gz,8238-1_S10_L001_R2_001.fastq.gz,8238-2_S9_L001_R1_001.fastq.gz,8238-2_S9_L001_R2_001.fastq.gz
32,Abass,Abass-1_S4_L001_R1_001.fastq.gz,Abass-1_S4_L001_R2_001.fastq.gz,Abass-2_S3_L001_R1_001.fastq.gz,Abass-2_S3_L001_R2_001.fastq.gz
33,Ali,Ali-1_S19_L001_R1_001.fastq.gz,Ali-1_S19_L001_R2_001.fastq.gz,Ali-2_S18_L001_R1_001.fastq.gz,Ali-2_S18_L001_R2_001.fastq.gz
34,Balkisu,Balkisu-1_S2_L001_R1_001.fastq.gz,Balkisu-1_S2_L001_R2_001.fastq.gz,Balkisu-2_S1_L001_R1_001.fastq.gz,Balkisu-2_S1_L001_R2_001.fastq.gz
35,cc001,cc001-1_S29_L001_R1_001.fastq.gz,cc001-1_S29_L001_R2_001.fastq.gz,cc001-2_S9_L001_R1_001.fastq.gz,cc001-2_S9_L001_R2_001.fastq.gz
36,cc002,cc002-1_S30_L001_R1_001.fastq.gz,cc002-1_S30_L001_R2_001.fastq.gz,cc002-2_S10_L001_R1_001.fastq.gz,cc002-2_S10_L001_R2_001.fastq.gz
37,cc003,cc003-1_S31_L001_R1_001.fastq.gz,cc003-1_S31_L001_R2_001.fastq.gz,cc003-2_S11_L001_R1_001.fastq.gz,cc003-2_S11_L001_R2_001.fastq.gz
38,cc004,cc004-1_S32_L001_R1_001.fastq.gz,cc004-1_S32_L001_R2_001.fastq.gz,cc004-2_S12_L001_R1_001.fastq.gz,cc004-2_S12_L001_R2_001.fastq.gz
39,cc005,cc005-1_S33_L001_R1_001.fastq.gz,cc005-1_S33_L001_R2_001.fastq.gz,cc005-2_S13_L001_R1_001.fastq.gz,cc005-2_S13_L001_R2_001.fastq.gz
40,cc006,cc006-1_S34_L001_R1_001.fastq.gz,cc006-1_S34_L001_R2_001.fastq.gz,cc006-2_S14_L001_R1_001.fastq.gz,cc006-2_S14_L001_R2_001.fastq.gz
41,cc007,cc007-1_S35_L001_R1_001.fastq.gz,cc007-1_S35_L001_R2_001.fastq.gz,cc007-2_S15_L001_R1_001.fastq.gz,cc007-2_S15_L001_R2_001.fastq.gz
42,cc008,cc008-1_S36_L001_R1_001.fastq.gz,cc008-1_S36_L001_R2_001.fastq.gz,cc008-2_S16_L001_R1_001.fastq.gz,cc008-2_S16_L001_R2_001.fastq.gz
43,cc009,cc009-1_S37_L001_R1_001.fastq.gz,cc009-1_S37_L001_R2_001.fastq.gz,cc009-2_S17_L001_R1_001.fastq.gz,cc009-2_S17_L001_R2_001.fastq.gz
44,cc010,cc010-1_S38_L001_R1_001.fastq.gz,cc010-1_S38_L001_R2_001.fastq.gz,cc010-2_S18_L001_R1_001.fastq.gz,cc010-2_S18_L001_R2_001.fastq.gz
45,cc011,cc011-1_S39_L001_R1_001.fastq.gz,cc011-1_S39_L001_R2_001.fastq.gz,cc011-2_S19_L001_R1_001.fastq.gz,cc011-2_S19_L001_R2_001.fastq.gz
46,cc012,cc012-1_S40_L001_R1_001.fastq.gz,cc012-1_S40_L001_R2_001.fastq.gz,cc012-2_S20_L001_R1_001.fastq.gz,cc012-2_S20_L001_R2_001.fastq.gz
47,cc014,cc014-1_S22_L001_R1_001.fastq.gz,cc014-1_S22_L001_R2_001.fastq.gz,cc014-2_S21_L001_R1_001.fastq.gz,cc014-2_S21_L001_R2_001.fastq.gz
48,cc015,,,cc015-2_S22_L001_R1_001.fastq.gz,cc015-2_S22_L001_R2_001.fastq.gz
49,cc016,cc016-1_S24_L001_R1_001.fastq.gz,cc016-1_S24_L001_R2_001.fastq.gz,cc016-2_S23_L001_R1_001.fastq.gz,cc016-2_S23_L001_R2_001.fastq.gz
50,cc017,cc017-1_S25_L001_R1_001.fastq.gz,cc017-1_S25_L001_R2_001.fastq.gz,cc017-2_S24_L001_R1_001.fastq.gz,cc017-2_S24_L001_R2_001.fastq.gz
51,cc018,cc018-1_S26_L001_R1_001.fastq.gz,cc018-1_S26_L001_R2_001.fastq.gz,cc018-2_S25_L001_R1_001.fastq.gz,cc018-2_S25_L001_R2_001.fastq.gz
52,cc019,,,cc019-2_S26_L001_R1_001.fastq.gz,cc019-2_S26_L001_R2_001.fastq.gz
53,cc020,cc020-1_S27_L001_R1_001.fastq.gz,cc020-1_S27_L001_R2_001.fastq.gz,cc020-2_S27_L001_R1_001.fastq.gz,cc020-2_S27_L001_R2_001.fastq.gz
54,cc021,cc021-1_S28_L001_R1_001.fastq.gz,cc021-1_S28_L001_R2_001.fastq.gz,cc021-2_S28_L001_R1_001.fastq.gz,cc021-2_S28_L001_R2_001.fastq.gz
55,cc022,cc022-1_S29_L001_R1_001.fastq.gz,cc022-1_S29_L001_R2_001.fastq.gz,cc022-2_S1_L001_R1_001.fastq.gz,cc022-2_S1_L001_R2_001.fastq.gz
56,cco15,cco15-1_S23_L001_R1_001.fastq.gz,cco15-1_S23_L001_R2_001.fastq.gz,,
57,kg073,kg073-1_S20_L001_R1_001.fastq.gz,kg073-1_S20_L001_R2_001.fastq.gz,KG073-2_S19_L001_R1_001.fastq.gz,KG073-2_S19_L001_R2_001.fastq.gz
59,Mariam,Mariam-1_S5_L001_R1_001.fastq.gz,Mariam-1_S5_L001_R2_001.fastq.gz,Mariam-2_S4_L001_R1_001.fastq.gz,Mariam-2_S4_L001_R2_001.fastq.gz
60,MGH001,MGH001-1_S28_L001_R1_001.fastq.gz,MGH001-1_S28_L001_R2_001.fastq.gz,MGH001-2_S8_L001_R1_001.fastq.gz,MGH001-2_S8_L001_R2_001.fastq.gz
61,PZ049,PZ049-1_S21_L001_R1_001.fastq.gz,PZ049-1_S21_L001_R2_001.fastq.gz,pz049-2_S20_L001_R1_001.fastq.gz,pz049-2_S20_L001_R2_001.fastq.gz
63,Rafiatu,Rafiatu-1_S9_L001_R1_001.fastq.gz,Rafiatu-1_S9_L001_R2_001.fastq.gz,Rafiatu-2_S8_L001_R1_001.fastq.gz,Rafiatu-2_S8_L001_R2_001.fastq.gz
64,Shaatu,Shaatu-1_S11_L001_R1_001.fastq.gz,Shaatu-1_S11_L001_R2_001.fastq.gz,Shaatu-2_S10_L001_R1_001.fastq.gz,Shaatu-2_S10_L001_R2_001.fastq.gz
65,sk052,sk052-1_S1_L001_R1_001.fastq.gz,sk052-1_S1_L001_R2_001.fastq.gz,sk052-2_S2_L001_R1_001.fastq.gz,sk052-2_S2_L001_R2_001.fastq.gz
66,sk053,sk053-1_S3_L001_R1_001.fastq.gz,sk053-1_S3_L001_R2_001.fastq.gz,sk053-2_S4_L001_R1_001.fastq.gz,sk053-2_S4_L001_R2_001.fastq.gz
67,sk057,sk057-1_S5_L001_R1_001.fastq.gz,sk057-1_S5_L001_R2_001.fastq.gz,sk057-2_S6_L001_R1_001.fastq.gz,sk057-2_S6_L001_R2_001.fastq.gz
68,sk085,sk085-1_S7_L001_R1_001.fastq.gz,sk085-1_S7_L001_R2_001.fastq.gz,sk085-2_S8_L001_R1_001.fastq.gz,sk085-2_S8_L001_R2_001.fastq.gz
69,sk088,sk088-1_S9_L001_R1_001.fastq.gz,sk088-1_S9_L001_R2_001.fastq.gz,sk088-2_S10_L001_R1_001.fastq.gz,sk088-2_S10_L001_R2_001.fastq.gz
70,sk090,sk090-1_S11_L001_R1_001.fastq.gz,sk090-1_S11_L001_R2_001.fastq.gz,sk090-2_S12_L001_R1_001.fastq.gz,sk090-2_S12_L001_R2_001.fastq.gz
71,sk094,sk094-1_S13_L001_R1_001.fastq.gz,sk094-1_S13_L001_R2_001.fastq.gz,sk094-2_S14_L001_R1_001.fastq.gz,sk094-2_S14_L001_R2_001.fastq.gz
72,sk096,sk096-1_S15_L001_R1_001.fastq.gz,sk096-1_S15_L001_R2_001.fastq.gz,sk096-2_S16_L001_R1_001.fastq.gz,sk096-2_S16_L001_R2_001.fastq.gz
73,sk097,sk097-1_S17_L001_R1_001.fastq.gz,sk097-1_S17_L001_R2_001.fastq.gz,sk097-2_S18_L001_R1_001.fastq.gz,sk097-2_S18_L001_R2_001.fastq.gz
74,sk101,sk101-1_S19_L001_R1_001.fastq.gz,sk101-1_S19_L001_R2_001.fastq.gz,sk101-2_S20_L001_R1_001.fastq.gz,sk101-2_S20_L001_R2_001.fastq.gz
75,sk107,sk107-1_S21_L001_R1_001.fastq.gz,sk107-1_S21_L001_R2_001.fastq.gz,sk107-2_S22_L001_R1_001.fastq.gz,sk107-2_S22_L001_R2_001.fastq.gz
76,sk108,sk108-1_S23_L001_R1_001.fastq.gz,sk108-1_S23_L001_R2_001.fastq.gz,sk108-2_S24_L001_R1_001.fastq.gz,sk108-2_S24_L001_R2_001.fastq.gz
77,sk119,sk119-1_S25_L001_R1_001.fastq.gz,sk119-1_S25_L001_R2_001.fastq.gz,sk119-2_S26_L001_R1_001.fastq.gz,sk119-2_S26_L001_R2_001.fastq.gz
78,sk125,sk125-1_S27_L001_R1_001.fastq.gz,sk125-1_S27_L001_R2_001.fastq.gz,sk125-2_S28_L001_R1_001.fastq.gz,sk125-2_S28_L001_R2_001.fastq.gz
79,sk142,sk142-1_S29_L001_R1_001.fastq.gz,sk142-1_S29_L001_R2_001.fastq.gz,sk142-2_S30_L001_R1_001.fastq.gz,sk142-2_S30_L001_R2_001.fastq.gz
80,sk150,sk150-1_S31_L001_R1_001.fastq.gz,sk150-1_S31_L001_R2_001.fastq.gz,sk150-2_S32_L001_R1_001.fastq.gz,sk150-2_S32_L001_R2_001.fastq.gz
81,sk154,sk154-1_S33_L001_R1_001.fastq.gz,sk154-1_S33_L001_R2_001.fastq.gz,sk154-2_S34_L001_R1_001.fastq.gz,sk154-2_S34_L001_R2_001.fastq.gz
82,sk159,sk159-1_S35_L001_R1_001.fastq.gz,sk159-1_S35_L001_R2_001.fastq.gz,sk159-2_S36_L001_R1_001.fastq.gz,sk159-2_S36_L001_R2_001.fastq.gz
83,sk162,sk162-1_S37_L001_R1_001.fastq.gz,sk162-1_S37_L001_R2_001.fastq.gz,sk162-2_S38_L001_R1_001.fastq.gz,sk162-2_S38_L001_R2_001.fastq.gz
84,sk163,sk163-1_S39_L001_R1_001.fastq.gz,sk163-1_S39_L001_R2_001.fastq.gz,sk163-2_S40_L001_R1_001.fastq.gz,sk163-2_S40_L001_R2_001.fastq.gz
85,sk166,sk166-1_S21_L001_R1_001.fastq.gz,sk166-1_S21_L001_R2_001.fastq.gz,sk166-2_S1_L001_R1_001.fastq.gz,sk166-2_S1_L001_R2_001.fastq.gz
86,sk177,sk177-1_S22_L001_R1_001.fastq.gz,sk177-1_S22_L001_R2_001.fastq.gz,sk177-2_S2_L001_R1_001.fastq.gz,sk177-2_S2_L001_R2_001.fastq.gz
87,sk179,sk179-1_S23_L001_R1_001.fastq.gz,sk179-1_S23_L001_R2_001.fastq.gz,sk179-2_S3_L001_R1_001.fastq.gz,sk179-2_S3_L001_R2_001.fastq.gz
88,sk181,sk181-1_S24_L001_R1_001.fastq.gz,sk181-1_S24_L001_R2_001.fastq.gz,sk181-2_S4_L001_R1_001.fastq.gz,sk181-2_S4_L001_R2_001.fastq.gz
89,sk189,sk189-1_S25_L001_R1_001.fastq.gz,sk189-1_S25_L001_R2_001.fastq.gz,sk189-2_S5_L001_R1_001.fastq.gz,sk189-2_S5_L001_R2_001.fastq.gz
90,sk191,sk191-1_S26_L001_R1_001.fastq.gz,sk191-1_S26_L001_R2_001.fastq.gz,sk191-2_S6_L001_R1_001.fastq.gz,sk191-2_S6_L001_R2_001.fastq.gz
91,sk196,sk196-1_S27_L001_R1_001.fastq.gz,sk196-1_S27_L001_R2_001.fastq.gz,sk196-2_S7_L001_R1_001.fastq.gz,sk196-2_S7_L001_R2_001.fastq.gz
92,Yakabu,Yakubu-1_S13_L001_R1_001.fastq.gz,Yakubu-1_S13_L001_R2_001.fastq.gz,Yakabu-2_S12_L001_R1_001.fastq.gz,Yakabu-2_S12_L001_R2_001.fastq.gz
