"SampleID"	"SampleName"	"MarkerID"	"Haplotype"	"Reads"	"NA"
"005-1_S1"	"005-1_S1"	"msp1"	"Noise"	0	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Indels"	38549	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Chimera"	827	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Singelton"	1179	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Noise"	0	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Indels"	41757	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Chimera"	10	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Singelton"	716	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Noise"	0	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Indels"	42477	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Chimera"	5	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Singelton"	618	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Noise"	0	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Indels"	43262	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Chimera"	226	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Singelton"	1210	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Noise"	0	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Indels"	42037	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Chimera"	320	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Singelton"	1282	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Noise"	0	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Indels"	46542	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Chimera"	1767	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Singelton"	1285	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Noise"	0	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Indels"	49688	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Chimera"	1763	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Singelton"	1676	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Noise"	0	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Indels"	49553	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Chimera"	4292	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Singelton"	1465	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Noise"	11	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Noise"	0	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Indels"	81980	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Chimera"	485	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Singelton"	1066	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Noise"	9	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Noise"	0	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Indels"	44023	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Chimera"	2701	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Singelton"	1326	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Noise"	0	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Indels"	46725	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Chimera"	3028	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Singelton"	1751	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Noise"	5	FALSE
"023-1_S7"	"023-1_S7"	"msp1"	"Noise"	0	FALSE
"023-1_S7"	"023-1_S7"	"msp1"	"Indels"	44823	FALSE
"023-1_S7"	"023-1_S7"	"msp1"	"Chimera"	2936	FALSE
"023-1_S7"	"023-1_S7"	"msp1"	"Singelton"	2429	FALSE
"024-1_S18"	"024-1_S18"	"msp1"	"Noise"	0	FALSE
"024-1_S18"	"024-1_S18"	"msp1"	"Indels"	37694	FALSE
"024-1_S18"	"024-1_S18"	"msp1"	"Chimera"	464	FALSE
"024-1_S18"	"024-1_S18"	"msp1"	"Singelton"	978	FALSE
"025-1_S20"	"025-1_S20"	"msp1"	"Noise"	0	FALSE
"025-1_S20"	"025-1_S20"	"msp1"	"Indels"	37748	FALSE
"025-1_S20"	"025-1_S20"	"msp1"	"Chimera"	1556	FALSE
"025-1_S20"	"025-1_S20"	"msp1"	"Singelton"	2288	FALSE
"027-1_S22"	"027-1_S22"	"msp1"	"Noise"	0	FALSE
"027-1_S22"	"027-1_S22"	"msp1"	"Indels"	33266	FALSE
"027-1_S22"	"027-1_S22"	"msp1"	"Chimera"	511	FALSE
"027-1_S22"	"027-1_S22"	"msp1"	"Singelton"	1116	FALSE
"027-1_S22"	"027-1_S22"	"msp1"	"Noise"	4	FALSE
"029-1_S24"	"029-1_S24"	"msp1"	"Noise"	0	FALSE
"029-1_S24"	"029-1_S24"	"msp1"	"Indels"	41207	FALSE
"029-1_S24"	"029-1_S24"	"msp1"	"Chimera"	1054	FALSE
"029-1_S24"	"029-1_S24"	"msp1"	"Singelton"	1193	FALSE
"030-1_S26"	"030-1_S26"	"msp1"	"Noise"	0	FALSE
"030-1_S26"	"030-1_S26"	"msp1"	"Indels"	29648	FALSE
"030-1_S26"	"030-1_S26"	"msp1"	"Chimera"	869	FALSE
"030-1_S26"	"030-1_S26"	"msp1"	"Singelton"	1281	FALSE
"040-1_S29"	"040-1_S29"	"msp1"	"Noise"	0	FALSE
"040-1_S29"	"040-1_S29"	"msp1"	"Indels"	41470	FALSE
"040-1_S29"	"040-1_S29"	"msp1"	"Chimera"	745	FALSE
"040-1_S29"	"040-1_S29"	"msp1"	"Singelton"	1257	FALSE
"048-1_S31"	"048-1_S31"	"msp1"	"Noise"	0	FALSE
"048-1_S31"	"048-1_S31"	"msp1"	"Indels"	41611	FALSE
"048-1_S31"	"048-1_S31"	"msp1"	"Chimera"	1503	FALSE
"048-1_S31"	"048-1_S31"	"msp1"	"Singelton"	2138	FALSE
"11639-1_S7"	"11639-1_S7"	"msp1"	"Noise"	0	FALSE
"11639-1_S7"	"11639-1_S7"	"msp1"	"Indels"	164378	FALSE
"11639-1_S7"	"11639-1_S7"	"msp1"	"Chimera"	6733	FALSE
"11639-1_S7"	"11639-1_S7"	"msp1"	"Singelton"	4889	FALSE
"11639-1_S7"	"11639-1_S7"	"msp1"	"Noise"	3	FALSE
"11800-1_S16"	"11800-1_S16"	"msp1"	"Noise"	0	FALSE
"11800-1_S16"	"11800-1_S16"	"msp1"	"Indels"	204871	FALSE
"11800-1_S16"	"11800-1_S16"	"msp1"	"Chimera"	561	FALSE
"11800-1_S16"	"11800-1_S16"	"msp1"	"Singelton"	4773	FALSE
"11800-1_S16"	"11800-1_S16"	"msp1"	"Noise"	37	FALSE
"13819-1_S8"	"13819-1_S8"	"msp1"	"Noise"	0	FALSE
"13819-1_S8"	"13819-1_S8"	"msp1"	"Indels"	176984	FALSE
"13819-1_S8"	"13819-1_S8"	"msp1"	"Chimera"	13386	FALSE
"13819-1_S8"	"13819-1_S8"	"msp1"	"Singelton"	5876	FALSE
"13819-1_S8"	"13819-1_S8"	"msp1"	"Noise"	19	FALSE
"13839-1_S12"	"13839-1_S12"	"msp1"	"Noise"	0	FALSE
"13839-1_S12"	"13839-1_S12"	"msp1"	"Indels"	244431	FALSE
"13839-1_S12"	"13839-1_S12"	"msp1"	"Chimera"	2628	FALSE
"13839-1_S12"	"13839-1_S12"	"msp1"	"Singelton"	6033	FALSE
"13839-1_S12"	"13839-1_S12"	"msp1"	"Noise"	29	FALSE
"18330-1_S6"	"18330-1_S6"	"msp1"	"Noise"	0	FALSE
"18330-1_S6"	"18330-1_S6"	"msp1"	"Indels"	134623	FALSE
"18330-1_S6"	"18330-1_S6"	"msp1"	"Chimera"	3095	FALSE
"18330-1_S6"	"18330-1_S6"	"msp1"	"Singelton"	3750	FALSE
"18330-1_S6"	"18330-1_S6"	"msp1"	"Noise"	13	FALSE
"18411-1_S15"	"18411-1_S15"	"msp1"	"Noise"	0	FALSE
"18411-1_S15"	"18411-1_S15"	"msp1"	"Indels"	156085	FALSE
"18411-1_S15"	"18411-1_S15"	"msp1"	"Chimera"	521	FALSE
"18411-1_S15"	"18411-1_S15"	"msp1"	"Singelton"	3089	FALSE
