SampleID	BarcodePair	SampleName	MarkerID	numReadIn	numReadOut	FileR1	FileR2
Rafiatu-1_S9	NA	Rafiatu-1_S9	msp1	215480	193972	output/dePlexMarker/Rafiatu-1_S9_L001_msp1_F.fastq.gz	output/dePlexMarker/Rafiatu-1_S9_L001_msp1_R.fastq.gz
Shaatu-1_S11	NA	Shaatu-1_S11	msp1	239975	217329	output/dePlexMarker/Shaatu-1_S11_L001_msp1_F.fastq.gz	output/dePlexMarker/Shaatu-1_S11_L001_msp1_R.fastq.gz
sk052-1_S1	NA	sk052-1_S1	msp1	29116	26493	output/dePlexMarker/sk052-1_S1_L001_msp1_F.fastq.gz	output/dePlexMarker/sk052-1_S1_L001_msp1_R.fastq.gz
sk053-1_S3	NA	sk053-1_S3	msp1	40379	36895	output/dePlexMarker/sk053-1_S3_L001_msp1_F.fastq.gz	output/dePlexMarker/sk053-1_S3_L001_msp1_R.fastq.gz
sk057-1_S5	NA	sk057-1_S5	msp1	22899	20946	output/dePlexMarker/sk057-1_S5_L001_msp1_F.fastq.gz	output/dePlexMarker/sk057-1_S5_L001_msp1_R.fastq.gz
sk085-1_S7	NA	sk085-1_S7	msp1	26189	23906	output/dePlexMarker/sk085-1_S7_L001_msp1_F.fastq.gz	output/dePlexMarker/sk085-1_S7_L001_msp1_R.fastq.gz
sk088-1_S9	NA	sk088-1_S9	msp1	28275	25932	output/dePlexMarker/sk088-1_S9_L001_msp1_F.fastq.gz	output/dePlexMarker/sk088-1_S9_L001_msp1_R.fastq.gz
sk090-1_S11	NA	sk090-1_S11	msp1	29762	27583	output/dePlexMarker/sk090-1_S11_L001_msp1_F.fastq.gz	output/dePlexMarker/sk090-1_S11_L001_msp1_R.fastq.gz
sk094-1_S13	NA	sk094-1_S13	msp1	24370	22392	output/dePlexMarker/sk094-1_S13_L001_msp1_F.fastq.gz	output/dePlexMarker/sk094-1_S13_L001_msp1_R.fastq.gz
sk096-1_S15	NA	sk096-1_S15	msp1	24154	22372	output/dePlexMarker/sk096-1_S15_L001_msp1_F.fastq.gz	output/dePlexMarker/sk096-1_S15_L001_msp1_R.fastq.gz
sk097-1_S17	NA	sk097-1_S17	msp1	26826	24621	output/dePlexMarker/sk097-1_S17_L001_msp1_F.fastq.gz	output/dePlexMarker/sk097-1_S17_L001_msp1_R.fastq.gz
sk101-1_S19	NA	sk101-1_S19	msp1	38364	35303	output/dePlexMarker/sk101-1_S19_L001_msp1_F.fastq.gz	output/dePlexMarker/sk101-1_S19_L001_msp1_R.fastq.gz
sk107-1_S21	NA	sk107-1_S21	msp1	33001	29435	output/dePlexMarker/sk107-1_S21_L001_msp1_F.fastq.gz	output/dePlexMarker/sk107-1_S21_L001_msp1_R.fastq.gz
sk108-1_S23	NA	sk108-1_S23	msp1	31794	28197	output/dePlexMarker/sk108-1_S23_L001_msp1_F.fastq.gz	output/dePlexMarker/sk108-1_S23_L001_msp1_R.fastq.gz
sk119-1_S25	NA	sk119-1_S25	msp1	37315	33052	output/dePlexMarker/sk119-1_S25_L001_msp1_F.fastq.gz	output/dePlexMarker/sk119-1_S25_L001_msp1_R.fastq.gz
sk125-1_S27	NA	sk125-1_S27	msp1	37125	33037	output/dePlexMarker/sk125-1_S27_L001_msp1_F.fastq.gz	output/dePlexMarker/sk125-1_S27_L001_msp1_R.fastq.gz
sk142-1_S29	NA	sk142-1_S29	msp1	30705	26937	output/dePlexMarker/sk142-1_S29_L001_msp1_F.fastq.gz	output/dePlexMarker/sk142-1_S29_L001_msp1_R.fastq.gz
sk150-1_S31	NA	sk150-1_S31	msp1	27118	24029	output/dePlexMarker/sk150-1_S31_L001_msp1_F.fastq.gz	output/dePlexMarker/sk150-1_S31_L001_msp1_R.fastq.gz
sk154-1_S33	NA	sk154-1_S33	msp1	32820	29149	output/dePlexMarker/sk154-1_S33_L001_msp1_F.fastq.gz	output/dePlexMarker/sk154-1_S33_L001_msp1_R.fastq.gz
sk159-1_S35	NA	sk159-1_S35	msp1	38833	34610	output/dePlexMarker/sk159-1_S35_L001_msp1_F.fastq.gz	output/dePlexMarker/sk159-1_S35_L001_msp1_R.fastq.gz
sk162-1_S37	NA	sk162-1_S37	msp1	31778	26098	output/dePlexMarker/sk162-1_S37_L001_msp1_F.fastq.gz	output/dePlexMarker/sk162-1_S37_L001_msp1_R.fastq.gz
sk163-1_S39	NA	sk163-1_S39	msp1	29786	24291	output/dePlexMarker/sk163-1_S39_L001_msp1_F.fastq.gz	output/dePlexMarker/sk163-1_S39_L001_msp1_R.fastq.gz
sk166-1_S21	NA	sk166-1_S21	msp1	72730	66688	output/dePlexMarker/sk166-1_S21_L001_msp1_F.fastq.gz	output/dePlexMarker/sk166-1_S21_L001_msp1_R.fastq.gz
sk177-1_S22	NA	sk177-1_S22	msp1	94414	86218	output/dePlexMarker/sk177-1_S22_L001_msp1_F.fastq.gz	output/dePlexMarker/sk177-1_S22_L001_msp1_R.fastq.gz
sk179-1_S23	NA	sk179-1_S23	msp1	99162	90534	output/dePlexMarker/sk179-1_S23_L001_msp1_F.fastq.gz	output/dePlexMarker/sk179-1_S23_L001_msp1_R.fastq.gz
sk181-1_S24	NA	sk181-1_S24	msp1	108185	99563	output/dePlexMarker/sk181-1_S24_L001_msp1_F.fastq.gz	output/dePlexMarker/sk181-1_S24_L001_msp1_R.fastq.gz
sk189-1_S25	NA	sk189-1_S25	msp1	68941	62892	output/dePlexMarker/sk189-1_S25_L001_msp1_F.fastq.gz	output/dePlexMarker/sk189-1_S25_L001_msp1_R.fastq.gz
sk191-1_S26	NA	sk191-1_S26	msp1	94446	86209	output/dePlexMarker/sk191-1_S26_L001_msp1_F.fastq.gz	output/dePlexMarker/sk191-1_S26_L001_msp1_R.fastq.gz
sk196-1_S27	NA	sk196-1_S27	msp1	75696	69170	output/dePlexMarker/sk196-1_S27_L001_msp1_F.fastq.gz	output/dePlexMarker/sk196-1_S27_L001_msp1_R.fastq.gz
Yakubu-1_S13	NA	Yakubu-1_S13	msp1	179527	163001	output/dePlexMarker/Yakubu-1_S13_L001_msp1_F.fastq.gz	output/dePlexMarker/Yakubu-1_S13_L001_msp1_R.fastq.gz
