"SampleID"	"SampleName"	"MarkerID"	"Haplotype"	"Reads"	"NA"
"005-1_S1"	"005-1_S1"	"msp1"	"Noise"	338	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Chimera"	918	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Indels"	232	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Singelton"	3062	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"msp1-2"	4990	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"Noise"	13666	FALSE
"005-1_S1"	"005-1_S1"	"msp1"	"msp1-1"	17349	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Noise"	649	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Chimera"	36	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Indels"	15	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Singelton"	1713	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"Noise"	10171	FALSE
"006-1_S3"	"006-1_S3"	"msp1"	"msp1-159"	29899	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Noise"	451	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Chimera"	26	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Indels"	18	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Singelton"	1523	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"Noise"	10048	FALSE
"010-1_S5"	"010-1_S5"	"msp1"	"msp1-159"	31034	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Noise"	702	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Chimera"	333	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Indels"	30	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Singelton"	3427	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"msp1-2"	2354	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"msp1-1"	4696	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"Noise"	12432	FALSE
"011-1_S7"	"011-1_S7"	"msp1"	"msp1-159"	20724	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Noise"	49	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Chimera"	803	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Indels"	9	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Singelton"	3233	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"msp1-2"	2698	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"msp1-1"	8515	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"Noise"	12214	FALSE
"012-1_S9"	"012-1_S9"	"msp1"	"msp1-159"	16118	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Noise"	656	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Chimera"	1661	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Indels"	319	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Singelton"	4165	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"msp1-189"	1153	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"msp1-2"	1732	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"msp1-1"	18890	FALSE
"017-1_S1"	"017-1_S1"	"msp1"	"Noise"	21018	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Noise"	739	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Chimera"	1946	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Indels"	20338	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Singelton"	6679	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-159"	669	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-1"	897	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-2"	900	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"msp1-279"	1412	FALSE
"018-1_S2"	"018-1_S2"	"msp1"	"Noise"	19547	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Noise"	800	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Chimera"	1790	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Indels"	2637	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Singelton"	4634	FALSE
"019-1_S3"	"019-1_S3"	"msp1"	"Noise"	45460	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Noise"	889	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Chimera"	369	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Indels"	7052	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Singelton"	2873	FALSE
"020-1_S4"	"020-1_S4"	"msp1"	"Noise"	72357	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Noise"	277	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Chimera"	2292	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Indels"	288	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Singelton"	4641	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"msp1-2649"	16315	FALSE
"021-1_S5"	"021-1_S5"	"msp1"	"Noise"	24237	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Noise"	1446	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Chimera"	1728	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Indels"	3599	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"Singelton"	5056	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"msp1-2649"	866	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"msp1-1"	1152	FALSE
"022-1_S6"	"022-1_S6"	"msp1"	"msp1-754"	2344	FALSE
